epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0288,1.79072,5.96693,1.59393,0.39939,0.22472,0.25062,0.19016,0.71531,4.28932,1.09762,0.000509361,0.000509361,0.000509361
2,24.5461,1.66382,6.61362,1.54269,0.11491,0.33333,0.13303,0.08374,1.14734,16.1273,1.30353,0.00105185,0.00105185,0.00105185
3,36.4083,2.12278,6.60181,1.95587,0.00173,0.10256,0.00059,0.00016,3.2572,89.5618,3.75412,0.00158058,0.00158058,0.00158058
4,48.9975,2.28291,4.46569,2.02119,0.00312,0.24359,0.00169,0.00036,3.08721,636.077,3.48545,0.00160511,0.00160511,0.00160511
5,60.7538,2.30282,4.06291,2.14774,0.00031,0.08974,7e-05,3e-05,nan,nan,nan,0.00158448,0.00158448,0.00158448
6,73.2136,1.98619,3.43336,1.79478,0.00857,0.05128,0.0024,0.0007,nan,nan,nan,0.00156385,0.00156385,0.00156385
7,85.5935,1.79029,2.91806,1.69562,0.02731,0.05128,0.0044,0.00225,nan,nan,nan,0.00154323,0.00154323,0.00154323
8,97.8994,1.65307,2.87223,1.62113,0,0,0,0,nan,nan,nan,0.0015226,0.0015226,0.0015226
9,109.682,1.55706,2.83345,1.60427,0.00318,0.23077,0.00189,0.00092,nan,nan,nan,0.00150197,0.00150197,0.00150197
10,122.121,1.53801,2.2549,1.57606,0.00352,0.05128,0.00214,0.00096,nan,nan,nan,0.00148134,0.00148134,0.00148134
11,134.588,1.55967,1.85856,1.65003,0.50423,0.24359,0.06152,0.02852,2.44716,26.141,3.25935,0.00146071,0.00146071,0.00146071
12,147.042,1.37687,1.68057,1.43474,0.38225,0.27622,0.13341,0.05714,2.43548,8.54134,4.31618,0.00144008,0.00144008,0.00144008
13,159.541,1.46407,1.77281,1.54019,0.10537,0.30186,0.02734,0.01268,2.20346,16.7972,4.08043,0.00141945,0.00141945,0.00141945
14,172.103,1.51692,1.64629,1.52279,0.00433,0.50932,0.02713,0.01179,nan,nan,nan,0.00139882,0.00139882,0.00139882
15,184.528,1.38145,1.56453,1.47043,0.00443,0.45804,0.06845,0.03756,2.52418,81.9907,25.7078,0.00137819,0.00137819,0.00137819
16,196.996,1.34709,1.49621,1.36276,0.79351,0.15385,0.23638,0.13895,2.24846,4.13764,7.46419,0.00135756,0.00135756,0.00135756
17,209.535,1.26282,1.32965,1.32766,0.84175,0.34615,0.41668,0.25757,1.21013,1.66859,1.49497,0.00133693,0.00133693,0.00133693
18,221.237,1.17102,1.26863,1.26161,0.83103,0.35897,0.44007,0.27809,1.14077,1.99063,1.42495,0.0013163,0.0013163,0.0013163
19,233.017,1.15431,1.14994,1.27845,0.80645,0.44872,0.4692,0.33009,1.04285,1.97368,1.3724,0.00129568,0.00129568,0.00129568
20,246.399,1.19987,1.193,1.28886,0.84455,0.44872,0.49633,0.33931,1.14106,1.57998,1.44441,0.00127505,0.00127505,0.00127505
21,259.674,1.19659,1.18015,1.29959,0.83585,0.41026,0.52284,0.35188,1.33468,1.51675,1.52329,0.00125442,0.00125442,0.00125442
22,271.378,1.171,1.10887,1.24988,0.38069,0.72727,0.55889,0.3878,1.09008,1.43921,1.38202,0.00123379,0.00123379,0.00123379
23,283.697,1.09581,1.02542,1.24583,0.84292,0.38462,0.54224,0.38428,1.04144,1.36384,1.33367,0.00121316,0.00121316,0.00121316
24,297.484,1.08578,1.02389,1.21268,0.83411,0.42308,0.51251,0.362,1.07214,1.38296,1.34881,0.00119253,0.00119253,0.00119253
25,310.614,1.05661,1.0011,1.21583,0.82093,0.44872,0.43902,0.30994,1.09519,1.4063,1.33025,0.0011719,0.0011719,0.0011719
26,323.283,1.03131,0.91946,1.16753,0.83858,0.37655,0.4319,0.31519,1.08615,1.44139,1.31055,0.00115127,0.00115127,0.00115127
27,335.626,1.00458,0.86897,1.18502,0.86192,0.41026,0.42684,0.30316,1.13275,1.43926,1.3318,0.00113064,0.00113064,0.00113064
28,348.307,0.95578,0.90987,1.10104,0.86757,0.4359,0.46326,0.33874,1.15697,1.31509,1.34188,0.00111001,0.00111001,0.00111001
29,360.844,0.99881,0.90993,1.11685,0.4748,0.61772,0.53287,0.37289,1.17399,1.22294,1.35971,0.00108938,0.00108938,0.00108938
30,373.248,0.95829,0.8698,1.13063,0.49058,0.67599,0.54452,0.34903,1.22013,1.20559,1.41121,0.00106876,0.00106876,0.00106876
31,385.651,1.01798,0.88244,1.12636,0.37863,0.51162,0.49423,0.33732,1.16927,1.21069,1.38456,0.00104813,0.00104813,0.00104813
32,398.135,0.96846,0.85084,1.12617,0.37201,0.51981,0.53265,0.34716,1.21147,1.24176,1.3826,0.0010275,0.0010275,0.0010275
