track_a,track_b,min_distance_m
0,2,65.02
0,3,66.75
2,3,26.28
4,5,27.63
4,6,14.48
4,7,44.56
4,8,34.24
4,9,32.29
5,6,36.34
5,7,69.09
6,7,5.35
6,8,18.45
6,9,37.39
6,10,23.21
6,11,36.41
6,12,22.96
6,13,31.95
6,14,50.51
6,16,30.62
6,17,40.34
6,18,49.22
7,8,26.99
7,9,32.35
7,10,34.04
7,11,81.2
7,12,40.46
8,9,27.56
8,10,65.54
9,10,15.69
10,11,29.53
10,12,0.55
11,12,29.16
11,13,3.64
11,14,19.71
12,13,11.67
13,14,28.94
14,16,11.14
14,17,44.7
14,18,13.1
14,19,11.86
14,20,10.3
14,21,17.72
16,17,10.11
16,18,2.28
16,19,2.32
16,20,44.41
17,18,22.04
19,20,22.17
19,21,7.64
19,22,39.27
20,21,12.98
21,22,15.78
23,24,18.13
23,25,28.04
23,26,0.82
23,27,17.07
23,28,40.63
23,29,44.15
23,30,69.14
24,25,24.9
24,26,2.58
24,27,19.73
24,28,55.69
25,26,49.78
25,27,6.05
26,27,8.64
26,28,44.63
26,29,25.06
26,30,1.47
26,31,4.81
27,28,34.63
27,29,29.7
27,30,35.52
27,31,31.03
28,29,13.33
28,30,50.11
28,31,32.99
29,30,34.06
29,31,18.24
30,31,19.79
