frame,timestamp_s,shot,lighting,detections,min_distance_m,coverage,berm_confidence,crest_y_median,height_m_median,height_ratio_median
0,0.0,0,night,3,4.15,0.9187,0.7331,532.9392,0.2607,1.4681
1,0.0417,0,night,3,3.41,0.9195,0.7214,534.3399,0.2343,1.3029
2,0.0833,0,night,3,8.6,0.9172,0.2471,525.8918,0.1732,1.5289
3,0.125,0,night,3,8.65,0.9148,0.1592,524.1479,0.2088,1.8502
4,0.1667,0,night,3,8.17,0.9281,0.2686,522.3312,0.2232,1.9892
5,0.2083,0,night,3,8.12,0.9266,0.3807,518.1928,0.2541,2.2245
6,0.25,0,night,3,7.9,0.9281,0.4514,516.3995,0.2721,2.3778
7,0.2917,0,night,3,7.91,0.8969,0.579,514.8193,0.2825,2.4776
8,0.3333,0,night,1,,0.8953,0.5413,514.9857,0.3007,2.6649
9,0.375,0,night,1,,0.8867,0.4726,514.4396,0.3176,2.7995
10,0.4167,0,night,1,,0.882,0.5531,513.4765,0.3363,2.9657
11,0.4583,0,night,1,,0.868,0.6492,511.8077,0.3589,3.2129
12,0.5,0,night,1,,0.8875,0.7075,512.0317,0.3666,3.2041
13,0.5417,0,night,1,,0.8883,0.7057,510.9434,0.3591,3.1219
14,0.5833,0,night,1,,0.9016,0.6629,511.4988,0.3539,3.1035
15,0.625,0,night,1,,0.8875,0.652,510.838,0.3631,3.2142
16,0.6667,0,night,1,,0.8969,0.7104,511.886,0.3613,3.1582
17,0.7083,0,night,1,,0.8742,0.6988,511.2231,0.3767,3.2774
18,0.75,0,night,1,,0.9016,0.7161,512.0305,0.3745,3.253
19,0.7917,0,night,1,,0.9008,0.7208,512.8486,0.362,3.2329
20,0.8333,0,night,1,,0.907,0.7099,513.8265,0.3705,3.2536
21,0.875,0,night,1,,0.8984,0.7219,513.9918,0.375,3.2821
22,0.9167,0,night,1,,0.8852,0.6788,514.0026,0.3637,3.2147
23,0.9583,0,night,1,,0.8805,0.7264,514.0075,0.3695,3.2306
24,1.0,0,night,1,,0.8852,0.7059,513.9303,0.3746,3.2155
25,1.0417,0,night,1,,0.8922,0.6798,513.712,0.3633,3.1737
26,1.0833,0,night,1,,0.8688,0.6701,513.7354,0.3448,3.0521
