frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
0,0.0,0,26,caex,critical,1000.6,864.9
0,0.0,0,29,caex,caution,500.9,610.7
0,0.0,0,31,caex,critical,838.8,860.1
1,0.0417,0,26,caex,critical,960.1,869.6
1,0.0417,0,29,caex,caution,500.4,611.0
1,0.0417,0,31,caex,critical,829.0,869.7
2,0.0833,0,26,caex,critical,919.5,874.2
2,0.0833,0,29,caex,caution,499.9,611.2
2,0.0833,0,33,caex,safe,265.2,557.5
3,0.125,0,26,caex,critical,879.0,878.9
3,0.125,0,29,caex,caution,499.4,611.5
3,0.125,0,33,caex,safe,264.6,556.5
4,0.1667,0,26,caex,critical,838.4,883.5
4,0.1667,0,29,caex,critical,498.8,611.7
4,0.1667,0,33,caex,critical,276.1,558.0
5,0.2083,0,26,caex,critical,797.9,888.2
5,0.2083,0,29,caex,critical,498.3,611.9
5,0.2083,0,33,caex,critical,283.5,558.0
6,0.25,0,26,caex,critical,757.3,892.8
6,0.25,0,29,caex,critical,497.8,612.2
6,0.25,0,33,caex,critical,294.0,557.5
7,0.2917,0,26,caex,critical,716.8,897.5
7,0.2917,0,29,caex,critical,497.3,612.4
7,0.2917,0,33,caex,critical,295.1,557.0
8,0.3333,0,33,caex,critical,303.9,557.0
9,0.375,0,33,caex,critical,313.5,557.5
10,0.4167,0,33,caex,critical,324.2,558.0
11,0.4583,0,33,caex,critical,336.8,558.0
12,0.5,0,33,caex,critical,335.2,558.0
13,0.5417,0,33,caex,critical,345.2,557.5
14,0.5833,0,33,caex,critical,355.0,559.5
15,0.625,0,33,caex,critical,367.9,559.5
16,0.6667,0,33,caex,critical,365.5,559.5
17,0.7083,0,33,caex,safe,377.9,558.0
18,0.75,0,33,caex,safe,389.2,559.0
19,0.7917,0,33,caex,safe,401.5,559.5
20,0.8333,0,33,caex,safe,399.5,559.0
21,0.875,0,33,caex,safe,412.2,558.5
22,0.9167,0,33,caex,safe,423.0,559.0
23,0.9583,0,33,caex,safe,424.5,558.5
24,1.0,0,33,caex,safe,436.8,559.0
25,1.0417,0,33,caex,safe,448.0,560.0
26,1.0833,0,33,caex,safe,463.8,559.0
27,1.125,0,33,caex,safe,463.2,557.0
28,1.1667,0,33,caex,safe,475.0,558.0
29,1.2083,0,33,caex,safe,491.5,559.5
30,1.25,0,33,caex,safe,500.2,559.5
31,1.2917,0,33,caex,safe,503.0,557.5
32,1.3333,0,33,caex,safe,515.9,558.0
33,1.375,0,33,caex,safe,527.0,559.0
34,1.4167,0,33,caex,safe,529.9,556.5
35,1.4583,0,33,caex,safe,538.1,557.0
36,1.5,0,33,caex,safe,557.5,557.5
37,1.5417,0,33,caex,safe,558.1,554.0
38,1.5833,0,33,caex,safe,568.9,555.0
39,1.625,0,33,caex,safe,586.1,556.0
40,1.6667,0,33,caex,safe,597.0,556.5
41,1.7083,0,33,caex,safe,598.0,551.5
42,1.75,0,33,caex,safe,611.1,554.0
43,1.7917,0,33,caex,safe,627.0,554.0
44,1.8333,0,33,caex,safe,626.9,552.5
45,1.875,0,33,caex,safe,636.0,553.0
